1,2,3,4,5,6
0.0,19.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,7.0
0.0,0.0,0.0,9.0,6.0,0.0
0.0,20.0,12.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0
26.0,17.0,0.0,0.0,0.0,0.0
23.0,0.0,10.0,4.0,0.0,0.0
17.0,11.0,10.0,0.0,0.0,0.0
19.0,20.0,8.0,0.0,0.0,0.0
0.0,17.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,0.0,0.0
15.0,12.0,0.0,5.0,0.0,0.0
14.0,0.0,9.0,5.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,7.0
18.0,11.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,11.0,0.0,0.0,0.0
0.0,0.0,0.0,8.0,4.0,0.0
19.0,0.0,9.0,0.0,0.0,0.0
17.0,0.0,7.0,0.0,0.0,0.0
17.0,18.0,9.0,0.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,12.0,0.0,0.0,0.0
14.0,15.0,0.0,6.0,0.0,0.0
0.0,0.0,8.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,12.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,9.0,5.0,0.0,0.0
0.0,17.0,11.0,0.0,0.0,0.0
23.0,18.0,0.0,5.0,0.0,0.0
0.0,0.0,0.0,9.0,7.0,0.0
0.0,19.0,0.0,0.0,0.0,0.0
0.0,0.0,13.0,0.0,4.0,0.0
0.0,12.0,0.0,0.0,0.0,0.0
0.0,0.0,11.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,10.0,0.0,0.0
23.0,0.0,12.0,0.0,0.0,0.0
0.0,14.0,0.0,4.0,0.0,0.0
25.0,0.0,8.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,0.0,7.0
0.0,18.0,10.0,6.0,0.0,0.0
0.0,11.0,11.0,10.0,4.0,0.0
17.0,18.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,0.0,0.0
0.0,18.0,8.0,0.0,0.0,0.0
0.0,0.0,0.0,10.0,0.0,0.0
20.0,0.0,0.0,10.0,0.0,0.0
0.0,12.0,0.0,6.0,8.0,0.0
0.0,0.0,9.0,0.0,0.0,0.0
24.0,0.0,7.0,5.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0
19.0,13.0,0.0,5.0,0.0,0.0
0.0,20.0,9.0,5.0,0.0,3.0
0.0,0.0,11.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0
14.0,13.0,0.0,7.0,0.0,0.0
0.0,12.0,8.0,6.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,11.0,0.0,0.0,0.0
19.0,20.0,0.0,8.0,0.0,7.0
0.0,0.0,8.0,10.0,0.0,0.0
16.0,17.0,0.0,0.0,0.0,7.0
18.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.0,7.0,0.0
0.0,0.0,0.0,5.0,0.0,0.0
0.0,12.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,4.0,0.0,0.0
0.0,16.0,0.0,0.0,0.0,0.0
0.0,17.0,0.0,0.0,5.0,0.0
21.0,10.0,0.0,7.0,0.0,0.0
0.0,16.0,0.0,7.0,0.0,0.0
0.0,0.0,9.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,4.0
23.0,15.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0
17.0,17.0,9.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,9.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,8.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0
0.0,19.0,0.0,0.0,0.0,3.0
14.0,0.0,0.0,9.0,6.0,0.0
21.0,18.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,0.0,0.0
0.0,0.0,10.0,6.0,0.0,7.0
26.0,0.0,7.0,0.0,5.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,0.0,0.0
15.0,0.0,7.0,0.0,0.0,0.0
0.0,15.0,7.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0
14.0,13.0,8.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,11.0,6.0,0.0,0.0
0.0,0.0,8.0,10.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,10.0,9.0,0.0,0.0
0.0,0.0,8.0,9.0,0.0,0.0
15.0,0.0,0.0,6.0,0.0,0.0
0.0,18.0,0.0,7.0,0.0,0.0
14.0,16.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,5.0
16.0,0.0,13.0,0.0,0.0,0.0
17.0,0.0,0.0,8.0,0.0,0.0
21.0,0.0,9.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,0.0
0.0,16.0,0.0,0.0,0.0,0.0
17.0,0.0,7.0,0.0,0.0,0.0
16.0,0.0,0.0,8.0,0.0,0.0
0.0,19.0,0.0,8.0,8.0,0.0
0.0,11.0,7.0,7.0,0.0,0.0
0.0,10.0,0.0,7.0,0.0,0.0
24.0,12.0,0.0,0.0,0.0,0.0
14.0,16.0,0.0,0.0,0.0,0.0
18.0,18.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,7.0,0.0
0.0,14.0,0.0,0.0,0.0,0.0
16.0,11.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,0.0,0.0
17.0,18.0,0.0,9.0,0.0,0.0
24.0,0.0,7.0,0.0,0.0,0.0
17.0,17.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,8.0,0.0
16.0,19.0,0.0,0.0,0.0,0.0
25.0,0.0,13.0,0.0,0.0,0.0
0.0,0.0,11.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,11.0,0.0,0.0,0.0
0.0,19.0,11.0,0.0,0.0,0.0
0.0,16.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0
24.0,10.0,9.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,4.0,0.0
0.0,0.0,10.0,7.0,0.0,7.0
21.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,11.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0
26.0,11.0,7.0,5.0,0.0,0.0
15.0,0.0,10.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0
18.0,11.0,0.0,0.0,0.0,0.0
19.0,18.0,0.0,0.0,0.0,0.0
21.0,20.0,0.0,9.0,0.0,0.0
18.0,20.0,0.0,0.0,0.0,0.0
26.0,0.0,11.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,0.0,0.0
0.0,0.0,0.0,5.0,0.0,0.0
23.0,19.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,0.0,0.0,0.0,0.0
24.0,12.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,8.0,0.0,0.0,0.0
16.0,15.0,0.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,0.0,10.0,0.0,0.0
0.0,0.0,0.0,6.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,0.0,0.0
20.0,16.0,0.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,0.0,0.0
23.0,0.0,8.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0
14.0,10.0,0.0,8.0,0.0,0.0
18.0,0.0,8.0,0.0,8.0,0.0
15.0,0.0,0.0,10.0,4.0,0.0
0.0,20.0,0.0,0.0,5.0,0.0
26.0,0.0,10.0,0.0,0.0,0.0
20.0,17.0,0.0,0.0,6.0,0.0
17.0,16.0,0.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0
